,ep_id,description,directors,writers
0,01x01,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.,David Silverman,"Mimi Pond, Matt Groening, James L. Brooks"
1,01x02,Bart ends up at a school for gifted children after cheating on an IQ test.,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
2,01x03,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
3,01x04,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.","Kent Butterworth, Gregg Vanzo","Matt Groening, James L. Brooks, Sam Simon"
4,01x05,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
5,01x06,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
6,01x07,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
7,01x08,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
8,01x09,Marge contemplates an affair with a handsome bowling instructor.,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
9,01x10,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
10,01x11,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.","Wesley Archer, Milton Gray","Matt Groening, James L. Brooks, Sam Simon"
11,01x12,"After Krusty is found guilty of robbing the Kwik-E-Mart following Homer's eyewitness testimony, Bart and Lisa set out to prove his innocence.",Brad Bird,"Matt Groening, James L. Brooks, Sam Simon"
12,01x13,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret.","Kent Butterworth, David Silverman","Matt Groening, James L. Brooks, Sam Simon"
